date,time,lon,lat,elon,elat
2020-01-21,22:18:46.080018,87.825,-34.7094,0.7453,1.9612
2020-01-22,00:45:30.239989,87.086,-34.7773,1.4843,2.0291
2020-01-22,03:24:28.799999,86.3533,-34.7649,2.217,2.0167
2020-01-22,06:33:07.200004,85.627,-34.9964,2.1411,2.2482
2020-01-22,10:31:52.320010,84.9069,-35.3076,1.421,2.0888
2020-01-22,14:51:56.160017,84.1932,-35.6896,1.4338,7.1618
2020-01-22,19:58:13.440020,83.4859,-36.2316,2.084,10.3423
2020-01-22,23:33:04.320009,82.0902,-37.7772,2.715,9.5601
2020-01-22,23:33:12.959994,81.4019,-42.5542,2.0267,7.174
2020-01-22,23:33:21.600020,80.72,-43.1867,2.0649,7.2237
2020-01-23,00:29:48.480020,80.0444,-43.5054,1.3575,6.6907
2020-01-23,02:59:51.360015,79.3752,-43.7708,2.6128,6.9561
2020-01-23,04:03:04.320009,78.7124,-44.3501,1.95,7.5354
2020-01-23,04:03:12.959994,78.056,-45.0627,1.3192,7.7808
2020-01-23,04:43:23.520003,77.406,-45.3058,1.9116,6.3408
2020-01-23,07:46:33.600002,76.7624,-45.8741,1.2936,6.9091
2020-01-23,11:07:09.119995,76.1252,-46.0157,1.8731,4.9053
2020-01-23,11:22:07.679998,75.4944,-46.6439,1.2423,4.366
2020-01-23,13:15:44.640005,74.8701,-46.8094,1.2295,4.2005
2020-01-23,14:53:22.559991,74.2521,-46.9524,1.2165,4.1486
2020-01-23,14:53:31.200017,73.6406,-47.3738,0.6115,3.7272
2020-01-23,14:57:07.200012,73.0356,-47.5033,1.1908,3.5977
2020-01-23,15:45:30.239989,72.437,-47.6342,0.5986,3.5807
2020-01-23,15:46:48.000018,71.8448,-48.0332,1.1908,3.1817
2020-01-23,17:09:10.079991,71.2591,-48.1637,1.7765,3.5005
2020-01-23,19:20:21.120018,70.6803,-48.293,1.1645,3.7363
2020-01-23,22:57:47.519984,69.545,-48.5598,1.1353,4.3657
2020-01-24,03:43:03.359997,68.9894,-49.0342,0.5556,4.7848
2020-01-24,09:31:23.520019,68.4425,-49.4049,0.5469,5.0841
2020-01-24,16:50:26.880008,67.9048,-50.123,1.0461,7.5388
2020-01-24,20:03:33.120000,67.3767,-50.9457,1.0255,6.8255
2020-01-24,21:37:35.039991,63.9877,-52.021,0.8582,6.3608
2020-01-24,22:17:28.319989,63.5522,-52.1648,0.4227,7.3755
2020-01-24,22:17:36.960015,63.1295,-52.8374,0.4227,6.7029
2020-01-24,23:18:23.040017,62.7197,-52.9761,0.8325,6.5642
2020-01-25,01:08:23.999989,62.3229,-53.1176,0.8066,6.5674
2020-01-25,03:27:12.960002,61.9392,-53.6851,1.1903,6.0767
2020-01-25,06:05:45.600016,61.5689,-53.9188,1.1508,5.8981
2020-01-25,07:14:18.239990,61.2119,-54.616,1.111,5.2009
2020-01-25,09:23:28.319981,60.8684,-54.7948,1.0708,5.1306
2020-01-25,10:59:57.120005,60.5386,-55.4859,0.6733,4.8834
2020-01-25,14:21:50.399987,60.2225,-56.1485,0.3161,4.6305
2020-01-25,17:45:01.439998,59.9203,-56.2778,0.3022,4.3924
2020-01-25,21:41:19.680012,59.3589,-56.5291,0.2576,3.9523
2020-01-26,01:08:23.999989,59.1013,-57.1401,0.6713,3.5707
2020-01-26,03:37:43.680017,58.8601,-57.4103,0.6174,3.4379
2020-01-26,05:53:13.920006,58.636,-57.5427,0.5609,3.3055
2020-01-26,07:57:30.240013,58.43,-57.6768,0.5023,3.3048
2020-01-26,09:52:24.960009,58.2427,-57.8069,0.4411,3.3039
2020-01-26,11:38:58.560010,58.0751,-57.9328,0.3777,3.178
2020-01-26,13:17:36.960015,57.9277,-58.0553,0.3118,3.181
2020-01-26,14:41:08.159992,57.8016,-58.205,0.1857,3.1474
2020-01-26,14:41:16.800017,57.6974,-58.7965,0.1042,2.5559
2020-01-26,14:41:25.440002,57.6159,-58.9124,0.0917,2.44
2020-01-26,15:45:21.600004,57.558,-59.0262,0.0428,2.3262
2020-01-26,19:59:57.120005,57.5242,-58.6245,0.0338,2.9445
2020-01-26,21:12:23.039985,57.5152,-58.7307,0.0577,2.8383
2020-01-26,21:17:42.720005,57.5729,-58.9346,0.0577,2.4372
2020-01-26,22:41:05.279996,57.6405,-59.0329,0.0941,2.3389
2020-01-27,00:06:46.079994,57.7346,-59.1266,0.1209,2.3413
2020-01-27,04:02:55.679983,57.8555,-58.7089,0.215,2.8641
2020-01-27,04:03:04.320009,58.0038,-59.156,0.1759,2.417
2020-01-27,07:35:28.320006,58.1797,-58.7343,0.437,2.5996
2020-01-27,08:59:16.799993,58.3839,-58.8124,0.3801,2.6024
2020-01-27,10:30:34.559982,58.6167,-58.8552,0.437,2.6312
2020-01-27,14:08:09.600013,58.8786,-58.4586,0.6127,2.7073
2020-01-27,15:22:36.479989,59.17,-58.5187,0.3213,2.6029
2020-01-27,16:33:44.639980,59.4913,-58.5693,0.3517,2.6791
2020-01-27,19:36:54.720020,59.843,-58.1402,0.7962,3.2435
2020-01-27,20:33:30.240005,60.2255,-58.2007,0.4137,3.183
2020-01-27,21:53:08.160016,61.0846,-57.8373,0.4775,3.6412
2020-01-27,23:13:20.640008,61.5621,-57.409,0.5101,3.8095
2020-01-28,00:07:37.919987,62.0722,-57.4572,0.5101,3.7613
2020-01-28,00:52:50.880005,62.6152,-57.0204,0,4.1981
2020-01-28,02:00:57.599983,63.1916,-57.0683,0,4.2149
2020-01-28,03:04:36.480013,63.8019,-56.6013,0.6103,4.6819
2020-01-28,04:26:24.000005,64.4465,-56.1109,0.6446,5.2547
