date,time,lon,lat,elon,elat
2020-01-20,12:00:00,92.26,-18.75,0.00,0.00
2020-01-21,12:00:00,91.57,-15.32,0.00,0.00
2020-01-22,12:00:00,88.40,-12.67,0.00,0.00
2020-01-23,12:00:00,87.98,-13.01,0.00,0.00
2020-01-24,12:00:00,88.16,-14.22,0.00,0.00
2020-01-25,12:00:00,87.12,-16.78,0.00,0.00
2020-01-26,12:00:00,76.15,-59.73,0.00,0.00
2020-01-27,12:00:00,80.66,-59.33,0.00,0.00
2020-01-28,12:00:00,88.98,-16.52,0.00,0.00
2020-01-29,12:00:00,89.93,-16.41,0.00,0.00
2020-01-30,12:00:00,92.57,-20.06,0.00,0.00
2020-01-31,12:00:00,99.40,-58.50,0.00,0.00
2020-02-01,12:00:00,98.70,-59.81,0.00,0.00
2020-02-02,12:00:00,99.44,-59.25,0.00,0.00
2020-02-03,12:00:00,99.42,-46.31,0.00,0.00
2020-02-04,12:00:00,92.56,-19.64,0.00,0.00
2020-02-05,12:00:00,91.81,-15.55,0.00,0.00
2020-02-06,12:00:00,90.96,-15.52,0.00,0.00
2020-02-07,12:00:00,88.22,-13.09,0.00,0.00
2020-02-08,12:00:00,87.94,-13.12,0.00,0.00
2020-02-09,12:00:00,88.29,-15.31,0.00,0.00
2020-02-10,12:00:00,68.25,-60.42,0.00,0.00
