date,time,lon,lat,elon,elat
2021-11-15,05:24:08.639993,353.563,-28.5226,0.6359,0.1812
2021-11-15,05:34:56.640019,353.098,-28.3512,1.0444,0.3058
2021-11-15,05:35:05.280004,352.677,-28.169,1.1575,0.4503
2021-11-15,05:35:13.919990,352.193,-28.0439,1.6409,0.5607
2021-11-15,05:36:57.600015,351.849,-27.8268,1.9856,0.7074
2021-11-15,07:06:14.400008,351.519,-27.7364,1.8375,0.6332
2021-11-15,08:48:20.159982,351.14,-27.4492,1.2416,0.9277
2021-11-15,11:32:29.759987,349.042,-25.4712,1.6946,1.6394
2021-11-15,13:21:21.599995,348.69,-25.2096,1.6849,1.372
2021-11-15,15:18:51.840008,348.195,-24.7225,1.4852,0.93
2021-11-15,16:53:28.319981,347.758,-24.3445,1.3846,0.87
2021-11-15,18:20:00.960012,347.517,-24.3414,1.6257,0.8564
2021-11-15,21:16:07.680006,347.159,-24.0371,1.0751,0.7968
2021-11-16,00:21:18.720000,346.869,-23.7906,0.4147,0.1925
2021-11-16,01:37:11.999990,346.648,-23.8828,0.4465,0.2668
2021-11-16,04:19:37.920011,346.32,-23.6899,0.3824,0.1548
2021-11-16,06:52:24.960009,346.017,-23.5165,0.4306,0.1269
2021-11-16,08:05:16.799985,345.849,-23.6412,0.4524,0.2519
2021-11-16,11:23:42.719997,345.302,-23.3626,0.5037,0.336
2021-11-16,14:20:15.359987,345.056,-23.2303,0.5147,0.2572
2021-11-16,14:54:23.040009,344.937,-23.387,0.3961,0.4219
2021-11-16,17:15:30.239989,344.722,-23.2949,0.5495,0.4304
2021-11-16,19:24:40.319980,344.521,-23.219,0.5211,0.4135
2021-11-16,21:22:45.120015,344.332,-23.156,0.4929,0.3937
2021-11-16,23:10:36.480005,344.159,-23.1072,0.4682,0.378
2021-11-17,00:49:32.159980,343.997,-23.0745,0.4572,0.3628
2021-11-17,03:06:20.159998,343.845,-23.053,0.4463,0.3383
2021-11-17,05:15:21.600004,343.703,-23.0435,0.4205,0.2713
2021-11-17,05:52:04.800003,343.471,-23.2595,0.362,0.4826
2021-11-17,07:46:42.239987,343.306,-23.2658,0.3924,0.4811
2021-11-17,09:35:59.999992,342.734,-23.3019,0.679,0.5076
2021-11-17,11:12:28.800015,342.48,-23.3141,0.7867,0.5669
2021-11-17,12:13:49.439999,342.001,-23.251,1.0154,0.5038
2021-11-17,14:40:50.879981,341.669,-23.3012,1.1124,0.5351
2021-11-17,16:48:51.840008,341.408,-23.3404,1.014,0.5411
2021-11-17,18:46:48.000018,341.19,-23.3711,0.9411,0.5331
2021-11-17,20:39:07.199996,341.001,-23.3961,0.8861,0.5366
2021-11-17,22:31:26.400014,340.846,-23.4154,0.8561,0.5295
2021-11-18,00:22:19.200018,340.719,-23.4305,0.8461,0.5262
2021-11-18,02:02:49.919993,340.166,-23.4634,0.897,0.5559
2021-11-18,03:50:24.000013,340.088,-23.473,0.8188,0.5644
2021-11-18,05:38:32.640014,340.016,-23.48,0.6965,0.5713
2021-11-18,07:34:27.839988,339.949,-23.4848,0.4822,0.545
2021-11-18,09:46:22.079981,339.77,-23.4954,0.4539,0.5514
2021-11-18,11:41:08.159992,339.715,-23.4992,0.4709,0.5529
2021-11-18,13:35:36.959991,339.663,-23.5039,0.4864,0.5548
2021-11-18,15:29:31.200009,339.612,-23.5102,0.5022,0.5573
2021-11-18,17:22:50.880005,339.563,-23.5177,0.5135,0.5604
2021-11-18,19:15:44.640005,339.515,-23.5265,0.5213,0.5637
2021-11-18,21:08:21.119994,339.466,-23.5367,0.5238,0.5675
2021-11-18,23:00:31.679986,339.417,-23.5486,0.5208,0.5714
2021-11-19,00:52:24.960009,339.368,-23.562,0.5352,0.5728
2021-11-19,02:43:43.680009,339.319,-23.577,0.5297,0.574
2021-11-19,04:34:53.759984,339.269,-23.5936,0.4797,0.5907
2021-11-19,06:25:46.559988,339.22,-23.6117,0.4544,0.5911
2021-11-19,08:16:30.720007,339.17,-23.6311,0.4236,0.5869
2021-11-19,09:42:11.520005,339.401,-23.6776,0.4493,0.547
2021-11-19,11:32:29.759987,339.36,-23.7067,0.3101,0.5761
2021-11-19,13:22:39.359984,339.319,-23.7381,0.3836,0.575
2021-11-19,15:12:48.959981,339.277,-23.7722,0.312,0.5791
2021-11-19,16:49:17.760005,339.631,-23.7927,0.3099,0.5595
2021-11-19,18:37:26.400006,339.614,-23.8434,0.3737,0.571
2021-11-19,20:25:00.479986,339.605,-23.8999,0.374,0.5399
2021-11-19,21:58:19.200010,340.035,-23.9404,0.5328,0.5804
2021-11-19,23:44:00.960020,340.087,-24.0201,0.3278,0.5986
2021-11-20,01:28:33.599986,340.169,-24.1126,0.5485,0.5726
2021-11-20,03:09:30.239997,340.8,-24.1552,0.594,0.5787
2021-11-20,04:40:04.800019,341.049,-24.3368,0.6602,0.6607
2021-11-20,06:33:15.839989,341.914,-24.3003,0.5052,0.6167
2021-11-20,08:26:44.160011,342.485,-24.3884,0.5359,0.6378
