date,time,lon,lat,jd,elon,elat
2021-11-15,05:37:58.079993,36.9831,-30.6603,2.45953e+06,10,10
2021-11-15,07:09:50.400003,36.4727,-30.9023,2.45953e+06,10,10
2021-11-15,09:00:25.919996,35.9711,-30.9352,2.45953e+06,10,10
2021-11-15,09:00:34.559982,35.6777,-31.1746,2.45953e+06,10,10
2021-11-15,09:22:53.760000,35.2101,-31.2164,2.45953e+06,10,10
2021-11-15,10:06:57.600015,34.9047,-31.3743,2.45953e+06,10,10
2021-11-15,11:42:43.199991,34.6218,-31.5113,2.45953e+06,10,10
2021-11-15,13:14:26.880016,34.3565,-31.6347,2.45953e+06,10,10
2021-11-15,14:10:53.760016,33.804,-31.741,2.45953e+06,10,10
2021-11-15,15:20:00.960012,33.5438,-31.8687,2.45953e+06,10,10
2021-11-15,17:05:25.440010,33.0258,-32.1017,2.45953e+06,10,10
2021-11-15,20:15:12.960018,32.7537,-32.2111,2.45953e+06,10,10
2021-11-15,21:42:46.079986,32.924,-32.2348,2.45953e+06,10,10
2021-11-16,01:06:48.959989,32.6228,-32.3678,2.45953e+06,10,10
2021-11-16,02:49:03.359989,32.7582,-32.7102,2.45953e+06,10,10
2021-11-16,06:15:41.760010,33.6235,-33.326,2.45953e+06,10,10
2021-11-16,11:57:41.759993,26.6804,-37.9008,2.45953e+06,10,10
2021-11-16,12:42:46.079986,23.8054,-36.5121,2.45954e+06,10,10
2021-11-16,13:36:37.440009,22.744,-36.4881,2.45954e+06,10,10
2021-11-16,13:36:46.079994,21.3073,-37.2962,2.45954e+06,10,10
2021-11-16,17:23:16.800001,16.8234,-36.4497,2.45954e+06,10,10
2021-11-16,18:42:11.520005,15.5876,-36.3616,2.45954e+06,10,10
2021-11-16,22:20:47.040014,15.0636,-36.3979,2.45954e+06,10,10
2021-11-17,01:07:40.799982,14.2867,-36.5676,2.45954e+06,10,10
2021-11-17,01:07:49.440007,1.7449,-28.9414,2.45954e+06,10,10
2021-11-17,02:10:19.199994,358.789,-28.7128,2.45954e+06,10,10
2021-11-17,02:10:27.840020,357.501,-28.3705,2.45954e+06,10,10
2021-11-17,02:10:36.480005,356.954,-28.0622,2.45954e+06,10,10
2021-11-17,03:45:38.880014,356.299,-27.8165,2.45954e+06,10,10
2021-11-17,06:36:51.839984,355.789,-27.597,2.45954e+06,10,10
2021-11-17,09:17:25.439994,355.362,-27.3896,2.45954e+06,10,10
2021-11-17,11:48:20.159982,354.983,-27.1672,2.45954e+06,10,10
2021-11-17,14:13:37.920019,354.649,-26.9131,2.45954e+06,10,10
2021-11-17,17:35:05.280004,353.881,-26.0602,2.45954e+06,10,10
2021-11-17,19:18:46.080018,353.638,-25.7278,2.45954e+06,10,10
2021-11-17,20:32:38.400013,353.35,-25.3475,2.45954e+06,10,10
